Name,Unit,Expression,Comment
kin_cbore_dep,mm,3.0,Kinematic locator counterbore depth; CP-D09/CP-D10
kin_tap_dep,mm,5.0,"Locator M4 tap, full thread; CP-D09a/CP-D10a"
stub_bore_d,mm,10.0,Coolant stub bore Ø; CP-D22 (ECR-D-003)
stub_bore_z,mm,11.0,Stub centreline above Datum A; CP-D23
stub_wp_d,mm,14.0,Stub weld-prep counterbore Ø; CP-D24
stub_wp_dep,mm,4.0,Stub weld-prep counterbore depth; CP-D24
ch_depth_port,mm,10.0,Channel local depth at ports; CP-D25
choke_pad_dia,mm,22.0,Choke washer pad Ø; CP-D17; = SEWCP-301 OD
he_bore,mm,10.0,Central He / pilot bore; CP-D15; VP pilot Ø9.90 h8; H8
vac_seal_id,mm,18.0,Sealing face inner Ø; CP-IF-5 masked annulus
vac_seal_od,mm,32.0,Sealing face outer Ø; CP-IF-5 masked annulus
vac_tap_size,mm,4.0,Vacuum port tap; CP-IF-5; M4×0.7
vac_tap_depth,mm,10.0,Vacuum port tap depth; CP-IF-5
lp_bore,mm,8.0,Lift pin bore Ø; CP-D12; H8
lp_cbore,mm,12.0,Bushing counterbore Ø; CP-IF-6; H7
lp_cbore_dep,mm,6.0,Bushing counterbore depth; CP-IF-6; = bushing length
hv_bore,mm,8.0,HV feed bore Ø; CP-IF-7
rf_land_circ,mm,60.0,RF land circumferential; CP-IF-8
rf_land_rad,mm,18.0,RF land radial width; CP-IF-8
rf_tap_size,mm,6.0,RF land tap; CP-IF-8; M6×1.0
rf_tap_depth,mm,12.0,RF land tap depth; CP-IF-8
rf_tap_pitch,mm,30.0,RF tap circumferential pitch; Derived from 98.7°/111.3°
rtd_bore,mm,1.7,RTD blind bore Ø; CP-D19; H8
rtd_depth,mm,12.0,RTD blind bore depth; CP-D19
rtd_r_1,mm,40.0,RTD radii; CP-IF-9
rtd_r_2,mm,100.0,RTD radii; CP-IF-9
rtd_r_3,mm,140.0,RTD radii; CP-IF-9
rtd_ang_1,deg,75.0,RTD angles; CP-IF-9; clears RF land
rtd_ang_2,deg,165.0,RTD angles; CP-IF-9; clears RF land
rtd_ang_3,deg,225.0,RTD angles; CP-IF-9; clears RF land
rtd_vent_dia,mm,1.5,Cross-vent bore Ø; DR-6 / DR-13
rtd_tap_size,mm,4.0,Retainer tap; CP-IF-9; M4×0.7
rtd_tap_depth,mm,8.0,Retainer tap depth; CP-IF-9
rtd_tap_offset,mm,9.0,Retainer tap offset; CP-IF-9 (±9 mm)
rf_land_r_mean,mm,bc_rf / 2,RF land mean radius; = 137.0
rf_land_r_in,mm,rf_land_r_mean - rf_land_rad / 2,RF land inner radius; = 128.0
rf_land_r_out,mm,rf_land_r_mean + rf_land_rad / 2,RF land outer radius; = 146.0
rf_land_half_ang,deg,(rf_land_circ / 2) / rf_land_r_mean * 180 / PI,RF land half-angle; = 12.547°
rf_tap_half_ang,deg,(rf_tap_pitch / 2) / rf_land_r_mean * 180 / PI,RF tap half-angle; = 6.273°
rf_tap_ang_1,deg,ang_rf_land - rf_tap_half_ang,RF tap 1 angle; = 98.73° (spec: 98.7°)
rf_tap_ang_2,deg,ang_rf_land + rf_tap_half_ang,RF tap 2 angle; = 111.27° (spec: 111.3°)
z_top,mm,cp_thk,Top face Z (part local); Datum A at Z=0
asm_z_offset,mm,20.0,Assembly Z placement; Vol 00 §4.2
tol_thk,mm,0.030,"Tolerance reference, non-driving; CP-D02"
tol_flat_face,mm,0.015,"Tolerance reference, non-driving; CP-D03/D04"
tol_pad_coplanar,mm,0.010,"Tolerance reference, non-driving; CP-D17"
tol_pos_kin,mm,0.020,"Tolerance reference, non-driving; CP-D11"
tol_pos_liftpin,mm,0.050,"Tolerance reference, non-driving; CP-D13"
tol_perp_liftpin,mm,0.030,"Tolerance reference, non-driving; CP-D14"
tol_pos_choke,mm,0.200,"Tolerance reference, non-driving; Vol 01 §9"
tol_pos_he,mm,0.100,"Tolerance reference, non-driving; Vol 01 §9"
tol_flat_rf,mm,0.020,"Tolerance reference, non-driving; CP-D18"
tol_flat_seal,mm,0.010,"Tolerance reference, non-driving; CP-D16"
tol_runout_od,mm,0.200,"Tolerance reference, non-driving; Vol 01 §9"
